time,chl_water,chl,time_elapsed,obsscheme,lograd,temp
2017-05-01,,21.501516342163086,41.3305954825462,obs2,4.393248159417846,10.6
2017-05-02,,17.828325271606445,41.333333333333336,obs2,4.891114638541332,10.5
2017-05-03,,17.30079460144043,41.336071184120456,obs2,4.910064387320993,10.6
2017-05-04,,22.55133438110352,41.338809034907605,obs2,4.68200261803138,9.7
2017-05-05,,24.88687515258789,41.341546885694726,obs2,4.428388809569752,9.9
2017-05-06,,25.723636627197266,41.34428473648186,obs2,5.422765384580112,10.8
2017-05-07,,17.49342155456543,41.347022587269,obs2,5.447495385705917,10.2
2017-05-08,6.1,28.009944915771484,41.349760438056116,obs3,5.411460022647918,9.5
2017-05-09,,14.13921070098877,41.35249828884326,obs2,5.328527700473697,8.7
2017-05-10,,23.03049659729004,41.35523613963039,obs2,5.433438929366694,9.4
2017-05-11,,25.47476005554199,41.35797399041752,obs2,5.697978627836401,13.5
2017-05-12,,25.586822509765625,41.360711841204655,obs2,4.913471545642608,14.8
2017-05-13,,12.627602577209473,41.36344969199179,obs2,5.344679541443908,13.4
2017-05-14,,11.962080955505373,41.366187542778924,obs2,5.533426085920519,12.8
2017-05-15,,13.05801773071289,41.368925393566045,obs2,5.482277241060148,14.4
2017-05-16,,15.773706436157227,41.37166324435318,obs2,5.273118259970498,18.0
2017-05-17,,10.956787109375,41.37440109514032,obs2,5.474543998074495,20.0
2017-05-18,,10.973475456237793,41.377138945927456,obs2,5.340249855352319,13.6
2017-05-19,,16.910404205322266,41.379876796714576,obs2,4.7731141879476855,12.4
2017-05-20,,16.864307403564453,41.38261464750171,obs2,5.709552831117537,12.5
2017-05-21,,28.32766532897949,41.38535249828885,obs2,5.771282462799814,13.6
2017-05-22,,7.477903842926025,41.38809034907597,obs2,5.69952961690265,17.9
2017-05-23,,7.628661155700684,41.39082819986311,obs2,5.675611597689505,13.9
2017-05-24,,10.390591621398926,41.39356605065024,obs2,5.570251082031678,14.0
2017-05-25,,11.289867401123047,41.39630390143737,obs2,5.806709476163325,15.7
2017-05-26,2.9,13.548945426940918,41.399041752224505,obs3,5.815718546105691,19.0
2017-05-27,,8.075815200805664,41.40177960301163,obs2,5.774882178709927,21.7
2017-05-28,,5.6473541259765625,41.404517453798775,obs2,5.812609198290514,16.4
2017-05-29,,5.647022247314452,41.4072553045859,obs2,5.474543998074495,17.3
2017-05-30,,11.637478828430176,41.40999315537303,obs2,5.154147575718459,15.4
2017-05-31,,18.439044952392575,41.41273100616017,obs2,5.8191620756792375,15.1
2017-06-01,,10.869999885559082,41.4154688569473,obs2,5.839914648980781,15.5
2017-06-02,,17.731653213500977,41.41820670773443,obs2,5.756386637874717,19.3
2017-06-03,,16.684219360351562,41.42094455852156,obs2,5.468704565422936,17.0
2017-06-04,,16.878868103027347,41.42368240930869,obs2,5.832479670493263,15.0
2017-06-05,,19.36783218383789,41.42642026009583,obs2,5.685876196301388,16.0
2017-06-06,,19.255298614501953,41.42915811088296,obs2,5.01140660150048,14.7
2017-06-07,,13.791255950927734,41.431895961670094,obs2,4.432523894717555,14.0
2017-06-08,,11.635945320129395,41.43463381245722,obs2,5.162799875951885,15.4
2017-06-09,,11.253290176391602,41.437371663244356,obs2,5.327966060470167,15.0
2017-06-10,,11.720832824707033,41.44010951403149,obs2,5.418155901386516,16.9
2017-06-11,,10.057966232299805,41.44284736481862,obs2,5.611707795710024,18.4
2017-06-12,,6.6546692848205575,41.44558521560575,obs2,5.560948689369365,15.7
2017-06-13,,9.952584266662598,41.44832306639288,obs2,5.741265567910942,15.0
2017-06-14,,16.380901336669922,41.451060917180016,obs2,5.818130261314264,17.2
2017-06-15,,16.86418342590332,41.453798767967136,obs2,5.67838552457223,18.5
2017-06-16,,10.776694297790527,41.456536618754285,obs2,5.728926656457227,15.8
2017-06-17,,10.510814666748047,41.459274469541405,obs2,5.501824943345388,17.2
2017-06-18,,21.25522232055664,41.46201232032854,obs2,5.83214039992173,20.1
2017-06-19,,15.835189819335938,41.46475017111568,obs2,5.808448304631349,22.8
2017-06-20,5.9,15.835453987121582,41.46748802190282,obs3,5.477450976865804,18.3
2017-06-21,,15.634854316711426,41.47022587268994,obs2,5.746084854346891,19.7
2017-06-22,,15.362102508544922,41.472963723477065,obs2,5.325716340736151,19.6
2017-06-23,,6.255829334259032,41.4757015742642,obs2,5.122226359504718,17.3
2017-06-24,,6.595021724700928,41.47843942505133,obs2,4.740291748806748,17.5
2017-06-25,,6.563039779663086,41.48117727583847,obs2,4.455638452017127,16.3
2017-06-26,,9.124574661254883,41.4839151266256,obs2,5.672033776341621,15.7
2017-06-27,,8.42955493927002,41.486652977412724,obs2,5.5733327485690864,17.0
2017-06-28,,8.482205390930176,41.489390828199866,obs2,4.284543957816957,17.3
2017-06-29,,8.519381523132324,41.492128678986994,obs2,5.121535990129697,17.1
2017-06-30,,4.631584167480469,41.49486652977413,obs2,4.957553526750071,16.1
2017-07-01,,5.305659770965576,41.497604380561256,obs2,5.049232593594399,16.0
2017-07-02,,5.571076393127441,41.50034223134839,obs2,5.625987752771495,16.0
2017-07-03,,5.369984149932861,41.50308008213553,obs2,5.4454993770592015,16.7
2017-07-04,,15.86079216003418,41.505817932922646,obs2,5.600220751722894,16.9
2017-07-05,7.7,19.054683685302734,41.50855578370979,obs3,5.76368061623727,18.4
2017-07-06,,3.266803979873657,41.51129363449692,obs2,5.544345211695834,19.4
2017-07-07,,3.31335186958313,41.51403148528405,obs2,5.459880978764421,19.2
2017-07-08,,19.24162483215332,41.516769336071185,obs2,5.19282824179737,17.2
2017-07-09,,18.16559219360352,41.51950718685831,obs2,5.822251146266766,17.8
2017-07-10,,17.902841567993164,41.522245037645455,obs2,4.926985264809331,18.9
2017-07-11,,8.185359001159668,41.52498288843258,obs2,5.432933240354653,18.0
2017-07-12,,6.128366470336914,41.52772073921971,obs2,5.205607968443769,15.7
2017-07-13,,7.856603145599365,41.53045859000685,obs2,5.48420124357767,15.8
